,review
0,Ảnh chụp từ hôm_qua đi chơi với gia_đình và nhà họ_hàng đang sống tại Sài_Gòn Hôm_qua đi ăn trưa muộn ai cũng đói hết nên lúc có đồ_ăn là nhào vô ăn_liền bởi_vậy mới quên chụp các phần gọi thêm với nước_mắm chỉ chụp món chính thôi Đói quá nên không biết đánh_giá đồ_ăn kiểu gì luôn Chọn cái này vì thấy nó lạ với tui
1,Hương_vị thơm ngon_ăn cay cay rất thích nêm nếm vừa_miệng Ngoài_ra menu quán cũng nhiều món khác nhau tha_hồ cho bạn lựa_chọn luôn Quán rộng_rãi view khá đẹp và cũng thoáng lắm Khách của quán đông nên nhiều khi nhân_viên phục_vụ không được nhanh cho lắm Thịt heo rừng giá theo kì nên nhớ hỏi trước nhưng trung_bình là k phần Hai bạn đi chung chi khoảng k hơn là ổn nhé
2,bàn tiệc hoành_tráng đứa ăn no muốn tắt_thở mà giá chỉ k ăn trung đợt giảm mình thích nhất pad thái với gà nướng đúng kiểu Thái luôn quán nhỏ trong hẻm cơ_mà anh phục_vụ rất dễ_thương chế_biến hợp vệ_sinh bếp lộ_thiên lại còn có_thể xin nấu cùng đã
3,Các bạn nhìn cái chảo này có to không Trên hình thấy nó cũng to mà ra bên ngoài nó bé tí_tẹo tèo teo ấy Mà nhìn hoàng tráng lắm Ăn là no muốn lăn luôn positive Cái này từ hồi mình ở Hà_Nội đã thèm_thuồng và vẫn chưa có cơ_hội thử thì vô Sài_Gòn có quán bánh_mì chảo đậm chất Hà_Nội đây positive positive positive Thêm địa_điểm cho mấy bạn nên đi thử nhé Không thất_vọng đâu vì nó khá ngon hê hê
4,Cháo có nhiều hương cho các bạn chọn nhưng mình thì chọn hương lá dứa Cháo thì cỡ hai chén là hết cháo khá nhừ và thơm cháo thơm mùi gạo tự_nhiên positive Ếch vị satế vì mình cực_kì thích ăn cay Nồi ếch thơm_lừng ăn tại_chỗ thì ếch nóng_hổi ăn nóng bao ngon luôn Cay cay mặn mặn hoà chung với cháo thì siêu ngon luôn positive
5,Đồ nướng thì chỗ này không ít bạn chẻ biết đến đâu nhỉ positive Giá thì cực sinh_viên luôn Chỉ từ k xiên thôi Có cả bò phô_mai với cả bạch_tuộc nướng nưa Thịt ở đây ướp rất là ngon vừa_miệng ăn nữa Nói chùn là không có chỗ chê hê hê
6,Đói không ngủ được nên up hình đồ_ăn cho mấy bạn coi Mì ý ở đây ngon lắm không chê vào đâu đươc ấy Không_gian cực_kì dễ_thương positive thích_hợp với việc hẹn_hò positive Giá_cả gọi là hợp_lí cho sinh_viên tụi mình lâu_lâu tự thưởng cho bản_thân một bữa ngon_lành cũng không gọi là tiếc_nuối đâu ạ
7,Khẩu_vị vừa ăn hợp vệ_sinh không_gian quán rộng view cũng tạm được Đặc_biệt là phục_vụ rất nhiệt_tình và vui_vẻ
8,Kimchi_Kimchi_Nói cho cùng thì đồ_ăn càng cay càng ngon hã positive Lẩu bánh gạo phần người ăn_ở kimchikimchi chúng_ta có_thể ăn no_nê luôn Nồi lẩu khá to và còn được tặng kèm lon sting và phần cơm_chiên nữa positive positive positive Đang có chương_trình khuyến_mại giảm cho phần lẩu người này các bạn ạ Ai mà nghiền cay thì không_thể không check in hhahaaa
9,Lẩu hàu thì chưa thấy đâu có Mới ăn lần đầu ở đây luôn mà ghiền quá Một phần lẩu k đầy_đặn có con hàu quả trứng rau nấm một gói mì Hàn ăn dai dai chứ không bở như mấy loại thường Cách ăn lẩu này là đập trứng cùng hàu trụng tái ăn mới ngon Nước lẩu cay cay ấm bụng cực D Mì thêm k vắt trứng k trái
